SALE TYPE,SOLD DATE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,MLS#
PAST SALE,2018,4250 Biscayne Blvd #1103,Miami,FL,33137,210000,0,1,485,2015,104,433,Sold,A10388462
MLS Listing,,6345 Collins Ave #706,Miami Beach,FL,33141,210000,0,1,330,1948,7,636,Active,A10613177
PAST SALE,2018,2701 SW 3rd Ave #501,Miami,FL,33129,210000,1,1.5,670,2009,227,313,Sold,A10488952
PAST SALE,2016,280 SW 20 Rd #705,Miami,FL,33129,210000,1,2,973,2005,1048,216,Sold,A2210031
PAST SALE,2017,455 NE 25th St #709,Miami,FL,33137,210000,1,1,835,2004,636,251,Sold,A10174230
MLS Listing,,833 West Ave #403,Miami Beach,FL,33139,210000,1,1,626,1983,1,335,Active,A10617556
PAST SALE,2018,935 Euclid Ave #6,Miami Beach,FL,33139,210000,1,1,660,1955,277,318,Sold,A10413375
PAST SALE,2017,900 Meridian Ave #208,Miami Beach,FL,33139,210000,1,1,535,1951,592,393,Sold,A10267800
PAST SALE,2018,935 Euclid Ave #1,Miami Beach,FL,33139,210000,1,1,659,1955,305,319,Sold,A10311664
PAST SALE,2017,1340 Lincoln Rd #406,Miami Beach,FL,33139,210000,1,1.5,768,1969,420,273,Sold,A10350816
PAST SALE,2016,95 Edgewater Dr #206,Coral Gables,FL,33133,210000,2,1,736,1960,1014,285,Sold,A10011453
PAST SALE,2018,253 NE 2nd St #619,Miami,FL,33132,211000,1,1.5,978,2008,347,216,Sold,A10409538
MLS Listing,,4010 N Meridian Ave #4,Miami Beach,FL,33140,212000,1,1,877,1948,4,242,Active,A10615229
PAST SALE,2018,2016 Bay Dr #203,Miami Beach,FL,33141,213000,2,2,1100,1966,323,194,Sold,A10400099
MLS Listing,,680 NE 64th St Unit A316,Miami,FL,33138,214000,1,1,723,1972,7,296,Active,A10613175
MLS Listing,,359 Meridian Ave Unit A-207,Miami Beach,FL,33139,215000,0,1,450,1937,6,478,Active,F10160644
PAST SALE,2016,2451 Brickell Ave Unit 3K,Miami,FL,33129,215000,1,1,886,1963,1078,243,Sold,A2162568
PAST SALE,2017,2501 Brickell Ave #604,Miami,FL,33129,215000,1,1,790,1981,749,272,Sold,A10181297
MLS Listing,,901 Meridian Ave #101,Miami Beach,FL,33139,215000,1,1,660,1956,2,326,Active,A10616076
MLS Listing,,865 Collins Ave #206,Miami Beach,FL,33139,215000,1,1,502,1954,11,428,Active,A10611144
MLS Listing,,6770 Indian Creek Dr Unit 8C,Miami Beach,FL,33141,216000,1,1.5,910,1968,11,237,Active,A10610555
PAST SALE,2017,1520 Euclid Ave #6,Miami Beach,FL,33139,216000,1,1,660,1947,466,327,Sold,A10265565
PAST SALE,2017,2421 Lake Pancoast Dr Unit 5D,Miami Beach,FL,33140,216000,0,1,536,1936,623,403,Sold,A10239705
PAST SALE,2017,,Miami Beach,FL,33139,217000,1,1,443,1945,540,490,Sold,A10287209
PAST SALE,2018,126 SW 17th Rd #508,Miami,FL,33129,217000,2,1,677,1997,146,321,Sold,A10441589
PAST SALE,2018,200 SE 15th Rd Unit 4A,Miami,FL,33129,218000,1,1.5,602,1974,108,362,Sold,A10486645
PAST SALE,2018,126 SW 17th Rd #608,Miami,FL,33129,218000,2,1,677,1997,341,322,Sold,A10345178
MLS Listing,,2734 Bird Ave #204,Miami,FL,33133,219000,1,1,534,2000,20,410,Active,A10605761
PAST SALE,2017,133 NE 2 Ave Ph 3617,Miami,FL,33132,219000,1,1,651,2007,698,336,Sold,A2194686
